结算项目名称,剂型名称,规格,首先自负比例,医疗项目编码,目录等级,药品名称,生产厂家
西药,滴眼剂,5ml:15mg（以C18H20FN3O4计）,0.0%、0.0%、0.0%,8.69045E+13,甲类,乳酸左氧氟沙星滴眼液,杭州国光药业股份有限公司（国药准字H20030604）
西药,注射剂,160mg,5.0%、10.0%、0.0%,8.69037E+13,乙类,注射用炎琥宁,哈尔滨松鹤制药有限公司（国药准字H20054851）
西药,注射剂,3ml:300单位(笔芯),5.0%、10.0%、0.0%,8.69784E+13,乙类,精蛋白锌重组赖脯胰岛素混合注射液(50R),Lilly France
西药,片剂,0.5g,0.0%、0.0%、0.0%,8.69008E+13,甲类,盐酸二甲双胍片,中美上海施贵宝制药有限公司（国药准字H20023370）
西药,片剂,50mg,5.0%、10.0%、0.0%,8.6901E+13,乙类,氯沙坦钾片,重庆科瑞制药(集团)有限公司（国药准字H20110040）
中成药,灸熨剂,25g,100.0%、100.0%、100.0%,8.69017E+13,丙类,清艾条,苏州市艾绒厂（国药准字Z32021059）
西药,注射剂,0.1g（以阿魏酸钠二水合物计）,5.0%、10.0%、0.0%,8.69019E+13,乙类,注射用阿魏酸钠,武汉长联来福制药股份有限公司（国药准字H20084178）
西药,片剂,10mg,5.0%、10.0%、0.0%,8.69015E+13,乙类,盐酸西替利嗪片,江苏联环药业股份有限公司（国药准字H20000581）
西药,胶囊剂,0.25g,100.0%、100.0%、100.0%,8.69009E+13,丙类,奥沙拉秦钠胶囊,天津力生制药股份有限公司（国药准字H20000247）
中草药,,,0.0%、0.0%,31200774,甲类,鹿角,
西药,注射剂,1ml：10mg,100.0%、100.0%,8.69001E+13,丙类,胸腺五肽注射液,北京世桥生物制药有限公司（国药准字H20061226）
西药,口服混悬剂,40mg,20.0%、30.0%、0.0%,86980007000022-1,乙类,泊沙康唑口服混悬液,"Patheon Inc.,Whitby Operations（H20150065）"
